,no,check_item,result
2,0,eSIF,
3,0.01,0. DMS: 0042-4218 V32,
4,1,Prepare for service,
5,1.01,Do a check of the warning log.,OK
6,1.02,Tightening torque.,OK
7,2,Functional safety test,
8,2.01,Tower: Do a test of the emergency stop function from the tower.,OK
9,2.02,To do a test of the emergency stop buttons in the tower: Do the test of,OK
10,,the emergency stop buttons -610-02-S1 for the tower control cabinet.,
11,2.03,Do the test of the emergency stop buttons -610-02-S6A for the tower,OK
12,,top in the tower.,
13,2.04,Do the test of the emergency stop buttons -610-02-S6B for the tower,OK
14,,top in the tower.,
15,2.05,Nacelle: Do a test to see if the emergency stop activates the brake.,OK
16,2.06,To do a test of the emergency stop buttons in the nacelle: Do the test of,OK
17,,the emergency stop buttons -610-02-S3 for the yaw control cabinet.,
18,2.07,Do the test of the emergency stop buttons -610-02-S4 for the main shaft,OK
19,,(LSS).,
20,2.08,Do the test of the emergency stop buttons -610-02-S5 for the nacelle,OK
21,,control cabinet.,
22,2.09,Do a check of the vibration sensor.,OK
23,2.10,Hub and blades: To do a test of the emergency stop buttons in the hub:,OK
24,,Do the test of the emergency stop buttons -135-S1 for the hub control,
25,,cabinet.,
26,2.11,Do the test of the emergency stop buttons -135-S2 for the hub I/O box.,OK
27,3,Safety equipment,
28,3.01,Do a check of the emergency rescue equipment according to the,OK
29,,checklist in the rescue box.,
30,3.02,Examine the fire extinguishers.,OK
31,3.03,Note the date for the next inspection of the fire extinguishers. Date of,10/2024
32,,inspection:,
33,3.04,Service technician’s initials:,JUBOL
34,3.05,Do a check of the first-aid kits according to the procedure mentioned in,OK
35,,the manual supplied along with the first-aid kits.,
36,3.06,Fall arrest equipment (rail): Visually examine the fall protection rail and,OK
37,,"the ladder for dents, holes, and cracks.",
38,3.07,Examine all the bolts on the fall protection rail.,OK
39,3.08,Fall arrest equipment (wire): Examine the safety cable.,OK
40,3.09,Examine the bottom bracket.,OK
41,3.10,"Examine the ladder, the cable, and the cable guides.",OK
42,3.11,Examine the top bracket.,OK
43,3.12,"Do a check of the anchor points in the tower, nacelle, inside nacelle roof",OK
44,,and hub.,
45,4,Rotor,
46,4.01,Hub: ++05 Hub control cabinet: Do a check of the heating element.,OK
47,4.02,Visually check the hub control cabinet and the support brackets for,OK
48,,loose bolts or cracks in the brackets.,
49,4.03,Do a test of the RCCB in the hub controller.,OK
50,4.04,Replace the 12 V backup battery in the ++05 hub control cabinet.,OK
51,4.05,Visually examine the 12 V batteries for leakage.,OK
52,4.06,Hub cover: Do a check of the fibreglass connections for loose bolts.,OK
53,4.07,Examine the nose cone for cracks in the fibreglass around the bolted,OK
54,,connections.,
55,4.08,Blade bearing: Do a check of the blade bearing seals for leakage.,OK
56,4.09,Semi-automatic lubrication system: To check the grease hoses: Do a,OK
57,,check of the grease hoses for cracks and wear.,
58,4.10,Do a check of the grease hoses and their attachments for tightness.,OK
59,4.11,Do a check of the grease distribution block assembly and its attachment,OK
60,,for tightness.,
61,4.12,Do a check of the grease collecting cans.,OK
62,4.13,Lubricate the blade bearings.,OK
63,4.14,Blades: Examine the blades.,OK
64,4.15,Do a check of the blade collar.,OK
65,4.16,Do an internal inspection of the structural shell blade.,OK
66,4.17,Do a check of the LCTU.,OK
67,4.18,Pitch system: Do a visual check to make sure that the blade pitch lock is,OK
68,,activated.,
69,4.19,Visually examine the hub for leakage.,OK
70,4.20,Do a check of the nitrogen pre-charge pressure in the pitch,OK
71,,accumulators.,
72,4.21,Measured value:,"105,000
bar"
73,4.22,New value after adjustment:,"110,000
bar"
74,4.23,Measured value:,"106,000
bar"
75,4.24,New value after adjustment:,"110,000
bar"
76,4.25,Measured value:,"106,000
bar"
77,4.26,New value after adjustment:,"110,000
bar"
78,4.27,Measured value:,"107,000
bar"
79,4.28,New value after adjustment:,"110,000
bar"
80,4.29,To do a check of the cylinder holder bolts: Do a check of every second,
81,,stud bolt on each pitch suspension arm and legs.,
82,,,Not Applicable
83,4.30,Torque:,KN
84,,,Not Applicable
